search_topic,title,authors,year,publication_date,type,journal,doi,url,cited_by_count
church fathers,"Music in early Coptic imagination: cultural acts and their cosmological aspects, according to literary sources",Robert Henriques Girling,2031,2031-01-01,article,University of Liverpool,https://doi.org/10.17638/03195322,https://openalex.org/W7128535615,0
rule of truth,Contested urbanisms: The politics of heritage and housing in Jakarta’s kampungs,"Binte Masron, Irna Nurlina",2027,2027-01-01,dissertation,"BIROn (Birkbeck, University of London)",https://doi.org/10.18743/pub.00056687,https://openalex.org/W7116109956,0
rule of truth,"Diasporic Sikh masculinities in Ranj Dhaliwal’s ""Daaku"" and Gautam Malkani’s ""Londonstani""",Kiran Kaur Sunar,2027,2027-01-01,dissertation,cIRcle (University of British Columbia),https://doi.org/10.14288/1.0105084,https://openalex.org/W2267749424,0
rule of truth,From Embedded Finance to Embedded Obligation: A Law-and-Economics Theory of Consumer Protection in Platform-Mediated Financial Services,Yongxin Chen,2026,2026-12-31,article,,https://doi.org/10.17613/sb76m-v2e23,https://openalex.org/W7161111530,0
biblical interpretation,Event Distribution in the Biblical Narrative (−4025 to 100 CE): Quantifying Temporal Clustering with Preregistered Methods,Wiley McCain,2026,2026-12-26,preprint,OSF Preprints (OSF Preprints),https://doi.org/10.5281/zenodo.18065787,https://openalex.org/W7117419394,0
theology,AJS 58th Annual Conference,Association for Jewish Studies,2026,2026-12-20,other,ConfIDent,https://doi.org/10.25798/rb6q-c534,https://openalex.org/W7164858145,0
theology,ADAM: Evolution Becoming Self-Aware,"Ait Ahmed, Abdelatif",2026,2026-11-27,report,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.17742543,https://openalex.org/W7107856702,0
theology,The Agenda-Driven Revision of Melito of Sardis,Ronald Burgos Michael,2026,2026-11-01,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.18214461,https://openalex.org/W7122525970,0
incarnation,"《達賴與班禪:藏傳佛教轉世制度中的「本土佛」》 The Dalai and Panchen Lamas: ""Indigenous Buddhas"" in the Tibetan Buddhist Reincarnation Tradition",Lawrence K Wang,2026,2026-10-23,article,Knowledge Commons (Lakehead University),https://doi.org/10.17613/wzwsa-nz369,https://openalex.org/W7212240013,0
rule of truth,Podejście uwzględniające kwestie płci w polityce zagranicznej : studium przypadku Gruzji w ramach szwedzkiej feministycznej polityki zagranicznej,Gunel Madadli,2026,2026-10-06,dissertation,Homo Politicus (Academy of Humanities and Economics in Lodz),,https://openalex.org/W7203956674,0
rule of truth,Debugging debugging information using dynamic call trees,"J. Ryan Stinnett, Stephen Kell",2026,2026-10-05,article,Research Portal (King's College London),,https://openalex.org/W7128571704,0
theology,"From 'Matsu' to 'Mazu': Mazu Circumambulation, Maritime Cultural Integration, and World Peace (Second Edition)《從「馬祖」到「媽祖」: 媽祖遶境、海洋文化整合與世界和平(第二版)》",Lawrence K Wang,2026,2026-10-02,article,Knowledge Commons (Lakehead University),https://doi.org/10.17613/701k5-kax18,https://openalex.org/W7210278036,0
rule of truth,Handbook for Mindful Technical Writing: A Practical Guide for University Students and Professionals,"Dawn Atkinson, Stacey Corbitt",2026,2026-10-01,article,Digital Commons - Montana Tech (Montana Tech of the University of Montana),,https://openalex.org/W7204218153,0
church fathers,Faculty Authors & Achievers Bibliography 2026,Luke Vilelle,2026,2026-10-01,article,Hollins Digital Commons (Hollins University),,https://openalex.org/W7209730771,0
theology,"Failed Gay Rights Amendment to Mankato's Human Rights Ordinance in Mankato, Minnesota in 1987",Kellian Clink,2026,2026-10-01,article,"Cornerstone (Minnesota State University, Mankato)",,https://openalex.org/W7204618497,0
biblical interpretation,Sharing the Story of Jesus in India: Story Literacy of the Bible,Joseph Scaria Palakeel,2026,2026-10-01,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22914589,https://openalex.org/W7214123096,0
theology,FORMED TOGETHER: A VALUE-BASED MODEL OF MUTUAL SPIRITUAL FORMATION FOR PENTECOSTAL PASTORS AND CHURCHES UNDER 500,W. T.A. McMillan,2026,2026-10-01,article,SEU FIRE Scholars (Southeastern University),,https://openalex.org/W7167876927,0
theology,Moral cognition and ethical perceptions in business: psychological insights from Gilgit-Baltistan’s cultural context,"Talib Hussain, Tong Zelin, Seung Won Lee, Manzar Rehman",2026,2026-10-01,article,Scientific Electronic Library Online (Scientific Electronic Library Online),,https://openalex.org/W7203805836,0
